,Length (s),Trajectory Path
65,51090,000/Trajectory/Unlabelled/20090420013034.csv
66,39835,000/Trajectory/Unlabelled/20090420235106.csv
67,27986,000/Trajectory/Unlabelled/20090422023859.csv
68,480,000/Trajectory/Unlabelled/20090422203607.csv
69,2200,000/Trajectory/Unlabelled/20090423092838.csv
70,1085,000/Trajectory/Unlabelled/20090423181101.csv
71,34011,000/Trajectory/Unlabelled/20090424004737.csv
72,640,000/Trajectory/Unlabelled/20090424171137.csv
73,61900,000/Trajectory/Unlabelled/20090425005731.csv
74,26826,000/Trajectory/Unlabelled/20090426025714.csv
75,780,000/Trajectory/Unlabelled/20090426175513.csv
76,46854,000/Trajectory/Unlabelled/20090427010230.csv
77,2156,000/Trajectory/Unlabelled/20090427215826.csv
78,35045,000/Trajectory/Unlabelled/20090428051631.csv
79,53181,000/Trajectory/Unlabelled/20090429005954.csv
80,31268,000/Trajectory/Unlabelled/20090430032332.csv
81,28837,000/Trajectory/Unlabelled/20090501035138.csv
82,23771,000/Trajectory/Unlabelled/20090502074907.csv
83,26081,000/Trajectory/Unlabelled/20090503033926.csv
84,28102,000/Trajectory/Unlabelled/20090504023301.csv
85,385,000/Trajectory/Unlabelled/20090504203925.csv
86,24292,000/Trajectory/Unlabelled/20090505032432.csv
87,745,000/Trajectory/Unlabelled/20090505195337.csv
88,20249,000/Trajectory/Unlabelled/20090506125906.csv
89,29378,000/Trajectory/Unlabelled/20090507024201.csv
90,800,000/Trajectory/Unlabelled/20090507192952.csv
91,1002,000/Trajectory/Unlabelled/20090508015405.csv
92,2917,000/Trajectory/Unlabelled/20090508100431.csv
93,24650,000/Trajectory/Unlabelled/20090509050136.csv
94,840,000/Trajectory/Unlabelled/20090509181636.csv
95,15485,000/Trajectory/Unlabelled/20090510020206.csv
96,425,000/Trajectory/Unlabelled/20090510222007.csv
97,14969,000/Trajectory/Unlabelled/20090511064136.csv
98,981,000/Trajectory/Unlabelled/20090511174427.csv
99,30772,000/Trajectory/Unlabelled/20090512013109.csv
100,490,000/Trajectory/Unlabelled/20090512195558.csv
101,39925,000/Trajectory/Unlabelled/20090513054336.csv
102,31058,000/Trajectory/Unlabelled/20090514015425.csv
103,33564,000/Trajectory/Unlabelled/20090515014004.csv
104,10513,000/Trajectory/Unlabelled/20090516091038.csv
105,29895,000/Trajectory/Unlabelled/20090517054624.csv
106,2570,000/Trajectory/Unlabelled/20090517220626.csv
107,28208,000/Trajectory/Unlabelled/20090518064638.csv
108,6596,000/Trajectory/Unlabelled/20090519094537.csv
109,560,000/Trajectory/Unlabelled/20090519174038.csv
110,5004,000/Trajectory/Unlabelled/20090520010901.csv
111,455,000/Trajectory/Unlabelled/20090520125535.csv
112,570,000/Trajectory/Unlabelled/20090520210235.csv
113,34747,000/Trajectory/Unlabelled/20090521045307.csv
114,6200,000/Trajectory/Unlabelled/20090521231053.csv
115,20941,000/Trajectory/Unlabelled/20090522094234.csv
116,43711,000/Trajectory/Unlabelled/20090523011253.csv
117,2835,000/Trajectory/Unlabelled/20090524094557.csv
118,1265,000/Trajectory/Unlabelled/20090524215455.csv
119,34496,000/Trajectory/Unlabelled/20090525093647.csv
120,25339,000/Trajectory/Unlabelled/20090526040256.csv
121,970,000/Trajectory/Unlabelled/20090526170706.csv
122,17669,000/Trajectory/Unlabelled/20090527080105.csv
123,36336,000/Trajectory/Unlabelled/20090528012338.csv
124,50440,000/Trajectory/Unlabelled/20090530034445.csv
125,31278,000/Trajectory/Unlabelled/20090531031407.csv
126,525,000/Trajectory/Unlabelled/20090531192301.csv
127,5425,000/Trajectory/Unlabelled/20090601082932.csv
128,23417,000/Trajectory/Unlabelled/20090602035536.csv
129,3565,000/Trajectory/Unlabelled/20090602185307.csv
130,35227,000/Trajectory/Unlabelled/20090603064302.csv
131,29825,000/Trajectory/Unlabelled/20090604053730.csv
132,62670,000/Trajectory/Unlabelled/20090605012707.csv
133,42619,000/Trajectory/Unlabelled/20090606060037.csv
134,6788,000/Trajectory/Unlabelled/20090607075255.csv
135,540,000/Trajectory/Unlabelled/20090607163831.csv
136,29704,000/Trajectory/Unlabelled/20090608060034.csv
137,62481,000/Trajectory/Unlabelled/20090609002030.csv
138,29688,000/Trajectory/Unlabelled/20090610062438.csv
139,59046,000/Trajectory/Unlabelled/20090610223636.csv
140,1370,000/Trajectory/Unlabelled/20090611221204.csv
141,21104,000/Trajectory/Unlabelled/20090612072227.csv
142,53142,000/Trajectory/Unlabelled/20090612220336.csv
143,34100,000/Trajectory/Unlabelled/20090614065303.csv
144,22997,000/Trajectory/Unlabelled/20090615055603.csv
145,425,000/Trajectory/Unlabelled/20090615183206.csv
146,19912,000/Trajectory/Unlabelled/20090616054128.csv
147,37725,000/Trajectory/Unlabelled/20090618005931.csv
148,50765,000/Trajectory/Unlabelled/20090619004036.csv
149,42804,000/Trajectory/Unlabelled/20090620024527.csv
150,16385,000/Trajectory/Unlabelled/20090621101407.csv
151,16191,000/Trajectory/Unlabelled/20090622095432.csv
152,34409,000/Trajectory/Unlabelled/20090623043635.csv
153,835,000/Trajectory/Unlabelled/20090623233404.csv
154,15164,000/Trajectory/Unlabelled/20090624070430.csv
155,407,000/Trajectory/Unlabelled/20090624215736.csv
156,43351,000/Trajectory/Unlabelled/20090625041631.csv
157,10525,000/Trajectory/Unlabelled/20090626101307.csv
158,2245,000/Trajectory/Unlabelled/20090627025208.csv
159,13283,000/Trajectory/Unlabelled/20090627101821.csv
160,46407,000/Trajectory/Unlabelled/20090628005229.csv
161,35802,000/Trajectory/Unlabelled/20090629011630.csv
162,9120,000/Trajectory/Unlabelled/20090629173335.csv
163,34295,000/Trajectory/Unlabelled/20090630045606.csv
164,816,000/Trajectory/Unlabelled/20090701044033.csv
165,75,000/Trajectory/Unlabelled/20090701110728.csv
166,455,000/Trajectory/Unlabelled/20090701171936.csv
167,42736,000/Trajectory/Unlabelled/20090702022530.csv
168,29363,000/Trajectory/Unlabelled/20090703002800.csv
169,19364,000/Trajectory/Unlabelled/20090704042634.csv
170,17528,000/Trajectory/Unlabelled/20090705025307.csv
171,22283,001/Trajectory/Unlabelled/20081023055305.csv
172,24886,001/Trajectory/Unlabelled/20081023234104.csv
173,42356,001/Trajectory/Unlabelled/20081024234405.csv
174,28427,001/Trajectory/Unlabelled/20081025231428.csv
175,74558,001/Trajectory/Unlabelled/20081026081229.csv
176,10098,001/Trajectory/Unlabelled/20081027111634.csv
177,1649,001/Trajectory/Unlabelled/20081027233029.csv
178,570,001/Trajectory/Unlabelled/20081027235802.csv
179,16320,001/Trajectory/Unlabelled/20081028102805.csv
180,1192,001/Trajectory/Unlabelled/20081028233053.csv
181,1497,001/Trajectory/Unlabelled/20081028235048.csv
182,9647,001/Trajectory/Unlabelled/20081029110529.csv
183,51448,001/Trajectory/Unlabelled/20081029234123.csv
184,30394,001/Trajectory/Unlabelled/20081030233959.csv
185,26803,001/Trajectory/Unlabelled/20081101004235.csv
186,39700,001/Trajectory/Unlabelled/20081102030834.csv
187,4781,001/Trajectory/Unlabelled/20081102233452.csv
188,2002,001/Trajectory/Unlabelled/20081103133204.csv
189,3348,001/Trajectory/Unlabelled/20081103233729.csv
190,31873,001/Trajectory/Unlabelled/20081104054859.csv
191,3488,001/Trajectory/Unlabelled/20081104234436.csv
192,47418,001/Trajectory/Unlabelled/20081105110052.csv
193,1318,001/Trajectory/Unlabelled/20081106051423.csv
194,1820,001/Trajectory/Unlabelled/20081106133604.csv
195,62938,001/Trajectory/Unlabelled/20081106233404.csv
196,28988,001/Trajectory/Unlabelled/20081108034358.csv
197,21770,001/Trajectory/Unlabelled/20081109033335.csv
198,2523,001/Trajectory/Unlabelled/20081110233534.csv
199,1872,001/Trajectory/Unlabelled/20081111114304.csv
200,48614,001/Trajectory/Unlabelled/20081111234235.csv
201,9620,001/Trajectory/Unlabelled/20081112234504.csv
202,5606,001/Trajectory/Unlabelled/20081113121334.csv
203,2786,001/Trajectory/Unlabelled/20081113234558.csv
204,5173,001/Trajectory/Unlabelled/20081114130723.csv
205,35050,001/Trajectory/Unlabelled/20081115003535.csv
206,25635,001/Trajectory/Unlabelled/20081116024429.csv
207,4168,001/Trajectory/Unlabelled/20081116235322.csv
208,35523,001/Trajectory/Unlabelled/20081117042454.csv
209,3221,001/Trajectory/Unlabelled/20081117234459.csv
210,488,001/Trajectory/Unlabelled/20081118003844.csv
211,4138,001/Trajectory/Unlabelled/20081118132804.csv
212,2544,001/Trajectory/Unlabelled/20081118235053.csv
213,41082,001/Trajectory/Unlabelled/20081119104736.csv
214,3599,001/Trajectory/Unlabelled/20081120121822.csv
215,3485,001/Trajectory/Unlabelled/20081120234905.csv
216,15953,001/Trajectory/Unlabelled/20081201102704.csv
217,2258,001/Trajectory/Unlabelled/20081202000605.csv
218,2245,001/Trajectory/Unlabelled/20081202145929.csv
219,2401,001/Trajectory/Unlabelled/20081203000505.csv
220,2834,001/Trajectory/Unlabelled/20081203112659.csv
221,26082,001/Trajectory/Unlabelled/20081203235305.csv
222,2120,001/Trajectory/Unlabelled/20081204142253.csv
223,13396,001/Trajectory/Unlabelled/20081205002359.csv
224,5231,001/Trajectory/Unlabelled/20081205143505.csv
225,14987,001/Trajectory/Unlabelled/20081205235730.csv
226,196,001/Trajectory/Unlabelled/20081206040725.csv
227,93,001/Trajectory/Unlabelled/20081206083854.csv
228,308,001/Trajectory/Unlabelled/20081206084030.csv
229,41343,001/Trajectory/Unlabelled/20081207030135.csv
230,2537,001/Trajectory/Unlabelled/20081208001534.csv
231,2519,001/Trajectory/Unlabelled/20081208142853.csv
232,52921,001/Trajectory/Unlabelled/20081209002004.csv
233,3218,001/Trajectory/Unlabelled/20081210001529.csv
234,11844,001/Trajectory/Unlabelled/20081210080559.csv
235,3435,001/Trajectory/Unlabelled/20081210235522.csv
236,4213,001/Trajectory/Unlabelled/20081211110523.csv
237,20810,001/Trajectory/Unlabelled/20081212000534.csv
238,4368,001/Trajectory/Unlabelled/20081212141923.csv
239,57182,001/Trajectory/Unlabelled/20081213092204.csv
240,13012,001/Trajectory/Unlabelled/20081214080334.csv
241,2125,001/Trajectory/Unlabelled/20081214235553.csv
242,14339,002/Trajectory/Unlabelled/20081023124523.csv
243,62395,002/Trajectory/Unlabelled/20081024000805.csv
244,49901,002/Trajectory/Unlabelled/20081025010205.csv
245,31803,002/Trajectory/Unlabelled/20081026024152.csv
246,5749,002/Trajectory/Unlabelled/20081026233830.csv
247,14934,002/Trajectory/Unlabelled/20081027103804.csv
248,14259,002/Trajectory/Unlabelled/20081028002304.csv
249,15751,002/Trajectory/Unlabelled/20081028102158.csv
250,39408,002/Trajectory/Unlabelled/20081029001905.csv
251,14252,002/Trajectory/Unlabelled/20081030001234.csv
252,14667,002/Trajectory/Unlabelled/20081030102229.csv
253,15558,002/Trajectory/Unlabelled/20081031000829.csv
254,13613,002/Trajectory/Unlabelled/20081031103459.csv
255,57522,002/Trajectory/Unlabelled/20081101010123.csv
256,18964,002/Trajectory/Unlabelled/20081102071030.csv
257,14000,002/Trajectory/Unlabelled/20081103001506.csv
258,13880,002/Trajectory/Unlabelled/20081103102301.csv
259,14817,002/Trajectory/Unlabelled/20081104001208.csv
260,14835,002/Trajectory/Unlabelled/20081104111530.csv
261,14038,002/Trajectory/Unlabelled/20081105002708.csv
262,15224,002/Trajectory/Unlabelled/20081106001357.csv
263,8400,002/Trajectory/Unlabelled/20081106103001.csv
264,15011,002/Trajectory/Unlabelled/20081106235807.csv
265,2795,002/Trajectory/Unlabelled/20081107122836.csv
266,23468,002/Trajectory/Unlabelled/20081108031957.csv
267,30730,002/Trajectory/Unlabelled/20081109031933.csv
268,49861,002/Trajectory/Unlabelled/20081109233203.csv
269,47472,002/Trajectory/Unlabelled/20081111003054.csv
270,56671,002/Trajectory/Unlabelled/20081112001312.csv
271,55767,002/Trajectory/Unlabelled/20081113001901.csv
272,55931,002/Trajectory/Unlabelled/20081114001504.csv
273,50239,002/Trajectory/Unlabelled/20081115020234.csv
274,27641,002/Trajectory/Unlabelled/20081116034332.csv
275,16676,002/Trajectory/Unlabelled/20081116233233.csv
276,11965,002/Trajectory/Unlabelled/20081117104056.csv
277,2640,002/Trajectory/Unlabelled/20081118001605.csv
278,4325,002/Trajectory/Unlabelled/20081118110037.csv
279,56703,002/Trajectory/Unlabelled/20081119001356.csv
280,15186,002/Trajectory/Unlabelled/20081120001650.csv
281,14721,002/Trajectory/Unlabelled/20081120105208.csv
282,13707,002/Trajectory/Unlabelled/20081121002520.csv
283,2941,002/Trajectory/Unlabelled/20081121115518.csv
284,39905,002/Trajectory/Unlabelled/20081122023300.csv
285,28767,002/Trajectory/Unlabelled/20081123035630.csv
286,15657,002/Trajectory/Unlabelled/20081201000933.csv
287,9025,002/Trajectory/Unlabelled/20081201103338.csv
288,41795,002/Trajectory/Unlabelled/20081201235901.csv
289,17062,002/Trajectory/Unlabelled/20081202233254.csv
290,12065,002/Trajectory/Unlabelled/20081203113052.csv
291,15361,002/Trajectory/Unlabelled/20081203235906.csv
292,5130,002/Trajectory/Unlabelled/20081204103209.csv
293,15661,002/Trajectory/Unlabelled/20081204235532.csv
294,3220,002/Trajectory/Unlabelled/20081205132536.csv
295,33201,002/Trajectory/Unlabelled/20081206035334.csv
296,34755,002/Trajectory/Unlabelled/20081207032708.csv
297,16765,002/Trajectory/Unlabelled/20081207234402.csv
298,3215,002/Trajectory/Unlabelled/20081208104929.csv
299,14193,002/Trajectory/Unlabelled/20081209001024.csv
300,3540,002/Trajectory/Unlabelled/20081209102038.csv
301,55033,002/Trajectory/Unlabelled/20081209230609.csv
302,50422,002/Trajectory/Unlabelled/20081211001302.csv
303,16426,002/Trajectory/Unlabelled/20081211235603.csv
304,6100,002/Trajectory/Unlabelled/20081212114702.csv
305,51826,002/Trajectory/Unlabelled/20081213013556.csv
306,470,002/Trajectory/Unlabelled/20081214051232.csv
307,19836,002/Trajectory/Unlabelled/20081214052032.csv
308,366,002/Trajectory/Unlabelled/20081222002058.csv
309,3885,002/Trajectory/Unlabelled/20081222101439.csv
310,385,002/Trajectory/Unlabelled/20081223004523.csv
311,5750,002/Trajectory/Unlabelled/20081223095334.csv
312,23179,002/Trajectory/Unlabelled/20081224041907.csv
313,170,002/Trajectory/Unlabelled/20081225094956.csv
314,1990,002/Trajectory/Unlabelled/20081226122814.csv
315,3302,002/Trajectory/Unlabelled/20081227101903.csv
316,1125,002/Trajectory/Unlabelled/20081228233936.csv
317,2455,002/Trajectory/Unlabelled/20081231081039.csv
318,5544,002/Trajectory/Unlabelled/20090101064430.csv
319,5998,002/Trajectory/Unlabelled/20090108094524.csv
320,47276,002/Trajectory/Unlabelled/20090109001408.csv
321,13045,002/Trajectory/Unlabelled/20090109235408.csv
322,412,002/Trajectory/Unlabelled/20090119002851.csv
323,2700,002/Trajectory/Unlabelled/20090119103005.csv
324,453,002/Trajectory/Unlabelled/20090120100033.csv
325,5323,002/Trajectory/Unlabelled/20090120100814.csv
326,29930,002/Trajectory/Unlabelled/20090121052427.csv
327,13836,002/Trajectory/Unlabelled/20090122100357.csv
328,28089,002/Trajectory/Unlabelled/20090123010134.csv
329,3,002/Trajectory/Unlabelled/20090123120357.csv
330,396,002/Trajectory/Unlabelled/20090124021228.csv
331,24660,002/Trajectory/Unlabelled/20090124021906.csv
332,32616,002/Trajectory/Unlabelled/20090125011404.csv
333,42901,002/Trajectory/Unlabelled/20090126010428.csv
334,34157,002/Trajectory/Unlabelled/20090127012158.csv
335,23330,002/Trajectory/Unlabelled/20090128005705.csv
336,18999,002/Trajectory/Unlabelled/20090128072557.csv
337,25997,002/Trajectory/Unlabelled/20090129053303.csv
338,20334,002/Trajectory/Unlabelled/20090130050552.csv
339,28482,002/Trajectory/Unlabelled/20090130224933.csv
340,1338,002/Trajectory/Unlabelled/20090131140451.csv
341,4563,002/Trajectory/Unlabelled/20090201105057.csv
342,2046,002/Trajectory/Unlabelled/20090202001804.csv
343,2966,002/Trajectory/Unlabelled/20090202094733.csv
344,4348,002/Trajectory/Unlabelled/20090203101427.csv
345,24439,002/Trajectory/Unlabelled/20090204043253.csv
346,246,002/Trajectory/Unlabelled/20090205000133.csv
347,8355,002/Trajectory/Unlabelled/20090205095334.csv
348,2151,002/Trajectory/Unlabelled/20090206001933.csv
349,4599,002/Trajectory/Unlabelled/20090206111804.csv
350,37253,002/Trajectory/Unlabelled/20090207051704.csv
351,25272,002/Trajectory/Unlabelled/20090208044718.csv
352,167,002/Trajectory/Unlabelled/20090208234052.csv
353,11364,002/Trajectory/Unlabelled/20090209095634.csv
354,402,002/Trajectory/Unlabelled/20090209232833.csv
355,2936,002/Trajectory/Unlabelled/20090209233519.csv
356,3056,002/Trajectory/Unlabelled/20090210113528.csv
357,778,002/Trajectory/Unlabelled/20090211000158.csv
358,3576,002/Trajectory/Unlabelled/20090211101033.csv
359,560,002/Trajectory/Unlabelled/20090212001033.csv
360,4657,002/Trajectory/Unlabelled/20090212102003.csv
361,866,002/Trajectory/Unlabelled/20090213000834.csv
362,3803,002/Trajectory/Unlabelled/20090213120704.csv
363,21091,002/Trajectory/Unlabelled/20090214022851.csv
364,14032,002/Trajectory/Unlabelled/20090214082024.csv
365,16954,002/Trajectory/Unlabelled/20090215090852.csv
366,820,002/Trajectory/Unlabelled/20090216001521.csv
367,5040,002/Trajectory/Unlabelled/20090216102534.csv
368,15694,002/Trajectory/Unlabelled/20090216200646.csv
369,7381,002/Trajectory/Unlabelled/20090217102958.csv
370,261,002/Trajectory/Unlabelled/20090218000551.csv
371,13252,002/Trajectory/Unlabelled/20090218095704.csv
372,40540,002/Trajectory/Unlabelled/20090219001021.csv
373,2516,002/Trajectory/Unlabelled/20090220114651.csv
374,3595,002/Trajectory/Unlabelled/20090221033628.csv
375,3866,002/Trajectory/Unlabelled/20090221123058.csv
376,12467,002/Trajectory/Unlabelled/20090222053534.csv
377,3566,002/Trajectory/Unlabelled/20090223102533.csv
378,14842,002/Trajectory/Unlabelled/20090224100903.csv
379,17061,002/Trajectory/Unlabelled/20090225094703.csv
380,2071,002/Trajectory/Unlabelled/20090226034103.csv
381,3296,002/Trajectory/Unlabelled/20090226131551.csv
382,9747,002/Trajectory/Unlabelled/20090227115117.csv
383,14505,002/Trajectory/Unlabelled/20090228000303.csv
384,223,002/Trajectory/Unlabelled/20090228134727.csv
385,2500,002/Trajectory/Unlabelled/20090228135112.csv
386,13058,002/Trajectory/Unlabelled/20090301003551.csv
387,2647,002/Trajectory/Unlabelled/20090301135934.csv
388,349,002/Trajectory/Unlabelled/20090302003203.csv
389,2865,002/Trajectory/Unlabelled/20090302135234.csv
390,905,002/Trajectory/Unlabelled/20090303000522.csv
391,2747,002/Trajectory/Unlabelled/20090303141257.csv
392,255,002/Trajectory/Unlabelled/20090304000922.csv
393,14175,002/Trajectory/Unlabelled/20090304101903.csv
394,2586,002/Trajectory/Unlabelled/20090305140303.csv
395,340,002/Trajectory/Unlabelled/20090306003221.csv
396,17061,002/Trajectory/Unlabelled/20090306104503.csv
397,42118,002/Trajectory/Unlabelled/20090307010704.csv
398,2962,002/Trajectory/Unlabelled/20090308122933.csv
399,4555,002/Trajectory/Unlabelled/20090309115521.csv
400,100,002/Trajectory/Unlabelled/20090310103503.csv
401,5062,002/Trajectory/Unlabelled/20090310103645.csv
402,1966,002/Trajectory/Unlabelled/20090311134104.csv
403,273,002/Trajectory/Unlabelled/20090312132334.csv
404,998,002/Trajectory/Unlabelled/20090312132809.csv
405,405,002/Trajectory/Unlabelled/20090312134449.csv
406,4973,002/Trajectory/Unlabelled/20090314011957.csv
407,7856,002/Trajectory/Unlabelled/20090315075204.csv
408,5984,002/Trajectory/Unlabelled/20090317115303.csv
409,2310,002/Trajectory/Unlabelled/20090318111533.csv
410,533,002/Trajectory/Unlabelled/20090318115406.csv
411,1874,002/Trajectory/Unlabelled/20090319141551.csv
412,685,002/Trajectory/Unlabelled/20090321021640.csv
413,284,002/Trajectory/Unlabelled/20090321022822.csv
414,3240,002/Trajectory/Unlabelled/20090321111458.csv
415,153,002/Trajectory/Unlabelled/20090321120901.csv
416,15321,002/Trajectory/Unlabelled/20090322035816.csv
417,1055,003/Trajectory/Unlabelled/20081023175854.csv
418,36380,003/Trajectory/Unlabelled/20081024020227.csv
419,63391,003/Trajectory/Unlabelled/20081024192954.csv
420,500,003/Trajectory/Unlabelled/20081025182454.csv
421,35065,003/Trajectory/Unlabelled/20081026043935.csv
422,34601,003/Trajectory/Unlabelled/20081027041826.csv
423,29783,003/Trajectory/Unlabelled/20081028040501.csv
424,34763,003/Trajectory/Unlabelled/20081029040232.csv
425,33504,003/Trajectory/Unlabelled/20081030014603.csv
426,29616,003/Trajectory/Unlabelled/20081031031627.csv
427,18682,003/Trajectory/Unlabelled/20081101093931.csv
428,495,003/Trajectory/Unlabelled/20081101172355.csv
429,37130,003/Trajectory/Unlabelled/20081102004708.csv
430,570,003/Trajectory/Unlabelled/20081103003236.csv
431,4485,003/Trajectory/Unlabelled/20081103091338.csv
432,497,003/Trajectory/Unlabelled/20081103165439.csv
433,21295,003/Trajectory/Unlabelled/20081104042615.csv
434,735,003/Trajectory/Unlabelled/20081104184339.csv
435,30884,003/Trajectory/Unlabelled/20081105015539.csv
436,36042,003/Trajectory/Unlabelled/20081106030103.csv
437,730,003/Trajectory/Unlabelled/20081106174007.csv
438,49875,003/Trajectory/Unlabelled/20081107010554.csv
439,44916,003/Trajectory/Unlabelled/20081107180109.csv
440,9574,003/Trajectory/Unlabelled/20081109074526.csv
441,63421,003/Trajectory/Unlabelled/20081109181031.csv
442,530,003/Trajectory/Unlabelled/20081110182503.csv
443,34342,003/Trajectory/Unlabelled/20081111012338.csv
444,670,003/Trajectory/Unlabelled/20081111173909.csv
445,41131,003/Trajectory/Unlabelled/20081112005657.csv
446,826,003/Trajectory/Unlabelled/20081112185203.csv
447,26535,003/Trajectory/Unlabelled/20081113013408.csv
448,706,003/Trajectory/Unlabelled/20081113170039.csv
449,42218,003/Trajectory/Unlabelled/20081114005036.csv
450,1955,003/Trajectory/Unlabelled/20081114181823.csv
451,44924,003/Trajectory/Unlabelled/20081115014037.csv
452,27808,003/Trajectory/Unlabelled/20081116031135.csv
453,1010,003/Trajectory/Unlabelled/20081116174727.csv
454,30003,003/Trajectory/Unlabelled/20081117014402.csv
455,725,003/Trajectory/Unlabelled/20081117175732.csv
456,425,003/Trajectory/Unlabelled/20081118012900.csv
457,20219,003/Trajectory/Unlabelled/20081118073736.csv
458,42012,003/Trajectory/Unlabelled/20081118224537.csv
459,1180,003/Trajectory/Unlabelled/20081119183755.csv
460,52159,003/Trajectory/Unlabelled/20081120032407.csv
461,38677,003/Trajectory/Unlabelled/20081121033709.csv
462,77347,003/Trajectory/Unlabelled/20081121213904.csv
463,24021,003/Trajectory/Unlabelled/20081123035039.csv
464,51291,003/Trajectory/Unlabelled/20081130204837.csv
465,11435,003/Trajectory/Unlabelled/20081201231707.csv
466,1153,003/Trajectory/Unlabelled/20081202143038.csv
467,70389,003/Trajectory/Unlabelled/20081202160051.csv
468,21004,003/Trajectory/Unlabelled/20081203231010.csv
469,540,003/Trajectory/Unlabelled/20081204162406.csv
470,155,003/Trajectory/Unlabelled/20081205002726.csv
471,36786,003/Trajectory/Unlabelled/20081205003006.csv
472,56745,003/Trajectory/Unlabelled/20081205182836.csv
473,36558,003/Trajectory/Unlabelled/20081207041403.csv
474,720,003/Trajectory/Unlabelled/20081207192705.csv
475,39082,003/Trajectory/Unlabelled/20081208034404.csv
476,38935,003/Trajectory/Unlabelled/20081209015756.csv
477,44585,003/Trajectory/Unlabelled/20081210013746.csv
478,10,003/Trajectory/Unlabelled/20081210225824.csv
479,49740,003/Trajectory/Unlabelled/20081210225839.csv
480,28651,003/Trajectory/Unlabelled/20081212032938.csv
481,16045,003/Trajectory/Unlabelled/20081213091636.csv
482,49356,003/Trajectory/Unlabelled/20081214012937.csv
483,26333,003/Trajectory/Unlabelled/20081215035929.csv
484,33324,003/Trajectory/Unlabelled/20081215233436.csv
